what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252364075000
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252364076468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364100437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364102312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364113906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364140875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364142859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364144140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364148578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364151578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364162984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364185000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364186203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364409515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364410750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364454781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364455140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364455671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364455921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364561171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364561687
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364607296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364612343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252365012218
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252365012687
