what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370436765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370439906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370445312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370447437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370447781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370448078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370450500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370451250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370476296
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252370476312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370477640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370486531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370486890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370487437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370487750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370488421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370488734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373598171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373598453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373598718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373599140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373856296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373864296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373865359
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252373865609
