what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,"com.android.ide.eclipse.ddms",1252386373781
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.core",1252386373812
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.ui",1252386373875
started,bundle,org.eclipse.mylyn.commons.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.commons.ui",1252386373906
started,bundle,org.eclipse.mylyn.context.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.core",1252386373937
started,bundle,org.eclipse.mylyn.context.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.ui",1252386374000
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1252386374046
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1252386374078
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1252386374125
os,sysinfo,,,"win32",1252386374140
arch,sysinfo,,,"x86",1252386374140
ws,sysinfo,,,"win32",1252386374140
locale,sysinfo,,,"en_US",1252386374140
processors,sysinfo,,,"2",1252386374140
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1252386374140
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1252386374140
java.specification.name,sysinfo,,,"Java Platform API Specification",1252386374140
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252386374140
java.specification.version,sysinfo,,,"1.6",1252386374140
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1252386374140
java.version,sysinfo,,,"1.6.0_16",1252386374140
java.vm.info,sysinfo,,,"mixed mode, sharing",1252386374140
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1252386374140
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1252386374140
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252386374140
