what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364003390
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252364003796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364004593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364022718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364023062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364023375
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252364024281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364025093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364025437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364025593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364026421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364026812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364031875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364032375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364042562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364043484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364047796
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252364049343
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252364050875
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1252364052546
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252364056531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364062609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364064031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364065593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364070312
