what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1252362931000
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1252362931000
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1252362931000
os,sysinfo,,,"win32",1252362931000
arch,sysinfo,,,"x86",1252362931000
ws,sysinfo,,,"win32",1252362931000
locale,sysinfo,,,"en_US",1252362931000
processors,sysinfo,,,"2",1252362931000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1252362931000
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1252362931000
java.specification.name,sysinfo,,,"Java Platform API Specification",1252362931000
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252362931000
java.specification.version,sysinfo,,,"1.6",1252362931000
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1252362931000
java.version,sysinfo,,,"1.6.0_16",1252362931000
java.vm.info,sysinfo,,,"mixed mode, sharing",1252362931000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1252362931000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1252362931000
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252362931000
java.vm.specification.version,sysinfo,,,"1.0",1252362931000
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1252362931000
java.vm.version,sysinfo,,,"14.2-b01",1252362931000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252362967953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252362970468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252362971171
