what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252365014531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252365038140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252365038812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252365038812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252365038875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252366963062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252366963093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252367031750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252367032828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252367067140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252367067734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370232671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370235437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370263171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1252370263187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370264453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370274078
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370275703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370276578
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252370277781
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.closeProject",1252370279218
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252370279593
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252370279734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370283828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370322796
