what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1252925843968
os,sysinfo,,,"win32",1252925843984
arch,sysinfo,,,"x86",1252925843984
ws,sysinfo,,,"win32",1252925843984
locale,sysinfo,,,"en_US",1252925843984
processors,sysinfo,,,"2",1252925843984
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1252925843984
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1252925843984
java.specification.name,sysinfo,,,"Java Platform API Specification",1252925843984
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252925843984
java.specification.version,sysinfo,,,"1.6",1252925843984
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1252925843984
java.version,sysinfo,,,"1.6.0_16",1252925843984
java.vm.info,sysinfo,,,"mixed mode, sharing",1252925843984
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1252925843984
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1252925843984
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252925843984
java.vm.specification.version,sysinfo,,,"1.0",1252925843984
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1252925843984
java.vm.version,sysinfo,,,"14.2-b01",1252925843984
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1252925845250
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1252925846093
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1252925846125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252925848984
