what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,"com.android.ide.eclipse.ddms",1252363710046
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.core",1252363710046
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.ui",1252363710046
started,bundle,org.eclipse.mylyn.commons.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.commons.ui",1252363710046
started,bundle,org.eclipse.mylyn.context.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.core",1252363710046
started,bundle,org.eclipse.mylyn.context.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.ui",1252363710046
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1252363710062
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1252363710062
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1252363710062
os,sysinfo,,,"win32",1252363710062
arch,sysinfo,,,"x86",1252363710062
ws,sysinfo,,,"win32",1252363710062
locale,sysinfo,,,"en_US",1252363710062
processors,sysinfo,,,"2",1252363710062
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1252363710062
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1252363710062
java.specification.name,sysinfo,,,"Java Platform API Specification",1252363710062
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252363710062
java.specification.version,sysinfo,,,"1.6",1252363710062
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1252363710062
java.version,sysinfo,,,"1.6.0_16",1252363710062
java.vm.info,sysinfo,,,"mixed mode, sharing",1252363710062
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1252363710062
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1252363710062
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252363710062
