what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363017312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363019265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363020250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363027921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363028796
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1252363034406
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1252363034421
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1252363034515
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1252363034609
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1252363034625
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1252363034656
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1252363034656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363034796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363057500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363059859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363060265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363062734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363065140
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.aboutAction",1252363065140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363067156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363070265
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.aboutAction",1252363070281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363076890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363111890
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1252363111921
