what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1252370322828
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.openProject",1252370326281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370330484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370341203
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1252370341234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370347140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370354968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370359625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370360031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370361109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370362203
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252370364578
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252370365578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370367562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370375031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370376203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370377671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370382984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370383859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370385890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370386843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370392906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370393828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370394203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370394906
