what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1252363794234
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252363794265
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1252363794515
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1252363798109
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1252363827140
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252363827453
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252363827718
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1252363831062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363833546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363835406
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1252363835421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363835734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363837578
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252363839062
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252363839843
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252363843906
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1252363845031
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252363846031
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1252363848015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363848046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363850578
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252363859046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363861437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363862109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363862781
