what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363867703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363868968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363869453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363871609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363875343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363880421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363924125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363927875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363952406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363957781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363959171
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252363963171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363966171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363967609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363968109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363968656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363968921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363982015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363983515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363984484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363984796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363992421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363993296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364001765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252364002468
