what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370395265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370395718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370397765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370398437
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1252370399828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370400250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370401390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370404578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370408906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370410703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370413359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370416906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370418390
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252370418671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370419265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370419687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370424390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370427953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252370427968
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1252370430500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370434562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370434578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370434609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370435343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252370436390
