what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363113156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363128812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363131828
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252363141031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363191046
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1252363191078
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1252363192703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363193000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363193906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363198265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363258781
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1252363258796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363259109
error,log,,,"Transfer Exception",1252363291640
error,log,,,"An error occurred while collecting items to be installed",1252363295171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363305125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363307781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363310656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363337515
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1252363337531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363337796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363359265
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252363359828
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1252363359984
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1252363360437
